COICOP,Komoditas,B41K9
11113003,"Siomay, batagor ",0
11111058,Air kemasan ,0
01221000,Air kemasan galon ,0
11111055/059,"Air teh kemasan, minuman soda ",0
01223-01225,"Sari buah kemasan, minuman kesehatan/energi ",0
11111052-57,"Minuman jadi (kopi, teh, susu coklat, dsb.) ",0
11111049,Es krim ,0
11111051,Es lainnya ,0
02110000,Minuman keras ,0
02201001,Rokok kretek filter ,0
02201002,Rokok kretek tanpa filter ,0
02201003,Rokok putih ,0
02202000,Tembakau ,0
